"","Source","Stakeholder","Response","assignment","sentiment"
"1","Personalised Care Group Session Responses - Strategic Co-Production Group","All","Digital first with other options available. A single story shared amongst clinicians to prevent repetition.","Efficiency, insights and prevention",0.361
"2","6th April: National stakeholders","People & Communities","We need to understand processes for dealing with rare conditions won't work for rare ones.  Ideally, all rare cancers should have their own NHS registry, rather than patient orgs having to develop them from scratch","Personalised care and inclusive service design",0.421
"3","Personalised Care Group Session Responses - Strategic Co-Production Group","All","Service in terms of the type of appointments; patient facing staff could get and also patients would be able to look at the information at the same time on screen rather than look at staff","Data access and interoperability for the frontline",0
"4","19th April: Health & Wellbeing Alliance","All","Support digital alignment with the NHS - example with VCSE - support smaller orgs to be part of digital inclusion","Digital readiness of the workforce and leadership",0.66
"5","Personalised Care Group Session Responses - Industry Feedback","All","Many ICS healthcare projects are siloed with diseased areas. Healthcare systems need to be designed to look at multiple LTC and co-morbidities. In 5-10 years time care planning and personalised care would work in primary care integrated across primary, secondary and community and voluntary sectors. It would provide HCP’s with the best set of optimal choices to recommend to their patients as part of treatment pathway and those treatment pathways would combine medication, statutory services, educational resources, goals habits and actions for patients with multiple long term conditions. The pathways would be informed by the AI big data learning for what has worked for similar patients looking through the lens of ethnicity, deprivation and different combinations of LTC.","Efficiency, insights and prevention",0.943
"6","19th April: Health & Wellbeing Alliance","All","Checks and balances in the system we can’t lose","Efficiency, insights and prevention",-0.402
"7","19th April: Health & Wellbeing Alliance","All","Apps created by authorities don’t necessarily work for young people or people in certain communities - something about different entry ways","Personalised care and inclusive service design",0.477
"8","Personalised Care Group Session Responses - Strategic Co-Production Group","All","Shared Patient records detailing prescribed drugs across all care settings, this will enable GP and hospital doctors to be fully informed when writing new prescriptions and administering new drugs","Data access and interoperability for the frontline",0.681
"9","Personalised Care Group Session Responses - C4PC","All","Resuscitation plans, ensuring patient preferences are captured with a single shared health record that is available across the system to ensure preferred outcomes are observed.","Personalised care and inclusive service design",0.727
"10","19th April: Health & Wellbeing Alliance","All","Sometimes people can’t see what’s in it for them, but rare they can’t learn - if they see what’s in it for them they can learn, need to see who they best person to help learn","Digital readiness of the workforce and leadership",0.885
"11","19th April: Health & Wellbeing Alliance","All","Role for voluntary sector groups to work with communities, people welcome changes to digital but there is a lot of apprehension and they want to be assured there are other routes in","Digital readiness of the workforce and leadership",0.141
"12","Personalised Care Group Session Responses - Industry Feedback","All","Requires a refocus of the workforce to be more preventative focused; using @home diagnostics and @home LTC management with remote monitoring and @home virtual wards – constant review of data and medical intervention as and when needed – plugging into social prescribing to address loneliness etc","Digital readiness of the workforce and leadership",0.02
"13","Personalised Care Group Session Responses - Industry Feedback","All","There need to be solutions in place to enable CCG/ICS to work better with local government. Health Service in particular struggle with paying personal budgets and don’t have the right mechanisms in place to get the money out the door. The accounting processes used within health and social care are very different, and it's hard to change these. We need tech solutions to support paying personal budgets.","Personalised care and inclusive service design",0.818
"14","Personalised Care Group Session Responses - Industry Feedback","All","Open data standards for social prescribing i.e. Open Active and Open Referral and using open data standards. There is an opportunity for community-based assets properly trained up on the standards and making sure that that is consistent. These standards should be baked in as a basic requirement to create any software for social prescribing that brings the whole world into the personalised care plan. Its currently too disjointed, there are lots of companies creating their own databases which is very very backward.","Data access and interoperability for the frontline",0.914
"15","Personalised Care Group Session Responses - DHCP PC Internal engagement MCP and components","All","SDM: Interactive DSTs/SDM platform that brings together DSTs and the evidence base with digital audit trail and accessible, health literate information as well as a record of consent
Digitise tools that help people prepare for an SDM conversation and embed into pathways
Using data from wearables to trigger an SDM conversation
Using all channels to promote SDM conversations e.g. appointment reminders for relevant appointments","Personalised care and inclusive service design",0.807
"16","Personalised Care Group Session Responses - DHCP PC Internal engagement MCP and components","All","SP: Digital tools that support people to prepare for a conversation with a SPLW
Increasing access to benefits of SP, utilising tech to make personalised recommendations for people based using data from their records","Personalised care and inclusive service design",0.649
"17","Personalised Care Group Session Responses - NHS@home","All","I think Virtual Reality could be really important for example in SSM e.g. using inhalers effectively and supporting adult  conversations","Innovation and scaling for digital solutions (inc funding)",0.784
"18","Personalised Care Group Session Responses - Internal Teams","All","Ability to live chat to a pharmacist","Personalised care and inclusive service design",0.318
"19","Personalised Care Group Session Responses - Industry Feedback","All","The original vision by Simon Stephens for: Integrated personalised commissioning – a single care record and process across health and social care, just one that is driven and owned by the citizen not driven by the organisations. Is still the gold standard vision.","Personalised care and inclusive service design",0.893
"20","Personalised Care Group Session Responses - Industry Feedback","All","Bring clinicians with us concerning and using hyperlinks on the portal.","Data access and interoperability for the frontline",0
"21","19th April: Confed MH Providers","All","More pressure on staff due to burden of having to provide data in realtime","Data access and interoperability for the frontline",-0.659
"22","6th April: Frontline digital leaders","People & Communities","We stop talking about social community, primary and secondary care its just Health and care ","Data access and interoperability for the frontline",0.637
"23","Q1 - 14 April - Social Care Engagement Session","Social Care Workforce","ethical implications of using tech and data and everything that goes on around that","data access and interoperability for the frontline",0.511
"24","19th April: techUK session","All","The governance and regulation sorted to make it much easier to deploy digital care solutions","Data access and interoperability for the frontline",0.772
"25","6th April: Frontline digital leaders","People & Communities","Use of Apps in Care Pathways","Personalised care and inclusive service design",0.494
"26","Personalised Care Group Session Responses - Strategic Co-Production Group","All","Language and health literacy, making people aware of what is out there using both digital and human support","Digital readiness of the workforce and leadership",0.402
"27","Personalised Care Group Session Responses - NHS@home","All","There are so many options and so much tech out there I think the challenge is how we help people understand what's out there and what may be right for them and how they get the most from it - so it's the support alongside the tech","Digital readiness of the workforce and leadership",0.715
"28","6th April: Frontline digital leaders","People & Communities","Better alignment of strategies/ priorities (and simplification!); understanding of need, outcomes and expected/ wished for experiences to align strategy/ initiatives","Digital readiness of the workforce and leadership",0.493
"29","19th April: Health & Wellbeing Alliance","All","Normalising that with young people coming into the health system","Personalised care and inclusive service design",0
"30","Personalised Care Group Session Responses - Strategic Co-Production Group","All","A messaging app/system that allows patients to contact health professionals and specialists while copying other stakeholders to avoid repetition.","Efficiency, insights and prevention",-0.296
"31","Personalised Care Group Session Responses - Internal teams","All","Digital supports people to interact with the health service in a way that works for them, in the way they interact with other services e.g. online shopping","Personalised care and inclusive service design",0.361
"32","19th April: Confed MH Providers","All","Addressing digital exclusion in north east England | IPPR - digi","Personalised care and inclusive service design",-0.296
"33","6th April: Frontline digital leaders","People & Communities","Patients have IG control of sharing of their data","Citizen data control and trust in data",0.421
"34","Personalised Care Group Session Responses - DHCP PC Internal engagement MCP and components","All","All providers in an ICS should meet a minimum level of digital maturity 
- 90% of trusts should have an EPR by Dec ‘23
- 80% of ASC providers should have DSCRs by Mar ‘24","Data access and interoperability for the frontline",0.477
"35","Personalised Care Group Session Responses - DHCP PC Internal engagement MCP and components","All","Every part of an ICS can access and input into a shared care record by 2024","Data access and interoperability for the frontline",0.681
"36","Personalised Care Group Session Responses - DHCP PC Internal engagement MCP and components","All","Every ICS has implemented a population health and planning data platform by 2025","Data access and interoperability for the frontline",0
"37","Personalised Care Group Session Responses - C4PC","All","Digital literacy and digital inequalities, with every individual not having the same digital understanding and access to technology, future systems will need to be designed to ensure universal access in a digital world.","Personalised care and inclusive service design",0.382
"38","13th April: Frontline digital leaders","All","Care plans should be held by patients/service users and should demonstrate joined up care. This should build trust and confidence between service users and professionals. The public should be empowered to self care. Digital inclusion is key to this","Personalised care and inclusive service design",0.945
"39","13th April: Frontline digital leaders","All","True Integrated care pathways","Personalised care and inclusive service design",0.718
"40","All External workshop form responses","All","focus on place taking a seismic shift","Other",0
"41","6th April: Frontline digital leaders","People & Communities","There will be increasing investment in digital as the core investment for digital clinical safety and patient safety.","Personalised care and inclusive service design",0.681
"42","19th April: Health & Wellbeing Alliance","All","How could this be linked in with personal budgets, and the management of them which will be increasing once charging reform comes into play?","Personalised care and inclusive service design",0.34
"43","13th April: Frontline digital leaders","All","Improved and more engagement with Social Care","Digital readiness of the workforce and leadership",0.862
"44","13th April: Frontline digital leaders","All","single source of truth and suite of services, including voluntary to support  communities","personalised care and inclusive service design",0.612
"45","6th April: Frontline digital leaders","People & Communities","multi channel approach","Personalised care and inclusive service design",0
"46","All External workshop form responses","All","perhaps promise less and have less priorities...having a decent system which staff can use will probably deliver most benefit","Other",0.68
"47","Q1 - 14 April - Social Care Engagement Session","Social Care Workforce","role of government in terms of the human infrastructure as well as the digital and tech infrastructure","Personalised care and inclusive service design",0.273
"48","19th April: Health & Wellbeing Alliance","All","Being able to track your own care journey and link to evidence-based info to help make your own decisions. A big part of digital exclusion is not understanding how to navigate all the info out there..#","Personalised care and inclusive service design",0.572
"49","6th April: Frontline digital leaders","People & Communities","patients are alerted to individual health risks in real time.","Personalised care and inclusive service design",-0.273
"50","19th April: techUK session","All","Digital Health Technologies that are health interventions will be viewed as either over the counter (direct to consumer) or prescription (pushed by HCP's) and for the latter, prescription management solutions i.e. formularies, prescription systems and post prescription support will be in place.","Other",0.527
"51","19th April: techUK session","All","#NAME?","Digital readiness of the workforce and leadership",0
"52","Personalised Care Group Session Responses - NHS@home","All","I think it's a good point re the NHS app and bringing all the info together e.g. it's possible to have heart data on Garmin, bp data on Omron and weight on other apps - I'd be happy to share with them all with an NHS app if a clinician or trusted AI could use it","Personalised care and inclusive service design",0.898
"53","Personalised Care Group Session Responses - Industry Feedback","All","Joining up a single record across multiple trust napr systems for the purposes of improved clinical care","Digital readiness of the workforce and leadership",0.862
"54","19th April: Health & Wellbeing Alliance","All","Better value placed on social care and understanding of impact and system - better coordinated support. Support available to people easily and accessibly from services to help navigate and advocate for people across systems.","Personalised care and inclusive service design",0.963
"55","Personalised Care Group Session Responses - Strategic Co-Production Group","All","Resources, using local know how to help local communities engage with the digital solutions","Efficiency, insights and prevention",0.7
"56","Personalised Care Group Session Responses - End of Life","All","Seamless sharing of data to understand impact; and consistent use of the same data. Very little access to data currently.","Data access and interoperability for the frontline",0.421
"57","Personalised Care Group Session Responses - NHS@home","All","There could be a distinction between simple medicine, i.e. a single condition which are already reasonably well optimised you could argue, but if you've got multiple long term conditions or mental health conditions or if you're talking about prevention I think there's an opportunity for digital in the wider sense whether it's ai or something else to machine learning to make a massive difference there so I think hopefully it'll be a shift away from a simple condition i.e. diabetes is pretty simple, but multi morbidities is hugely complicated and poorly treated, mental health is poorly treated, prevention is as well, and health in the wider sense, considering things like housing as well as the impacts on health as well, I think it's really important.","Data access and interoperability for the frontline",0.979
"58","Personalised Care Group Session Responses - Strategic Co-Production Group","All","Digitalizing passports for patients, for example person centred health documents, for use in hospitals or the GP.","Data access and interoperability for the frontline",0
"59","Personalised Care Group Session Responses - Strategic Co-Production Group","All","A multi-agency approach for online consultations to allow joined up meetings between patients and health and social care professionals","Data access and interoperability for the frontline",0.625
"60","Personalised Care Group Session Responses - End of Life","All","A significant number of products currently on the market have been developed for other health systems (e.g. USA) and are then tweaked for the UK market rather than properly co-designed for our communities and system. That we need digital solution needs to not just take place with people from more deprived communities with palliative care and End of Life needs but also with the nurses and community and voluntary sector (who are also from these deprived communities) that are supporting these individual. Without this it is hard to get their buy in and the system change.","Innovation and scaling for digital solutions (inc funding)",0.052
