"","K","Exclusivity","SemanticCoherence","Model"
"1","1","9.82939018800817","-136.029218956962","Base"
"2","2","9.90917279176248","-207.333138460097","Base"
"3","3","9.95296460990391","-240.086277793368","Base"
"4","4","9.9238541387425","-244.723215614241","Base"
"5","5","9.71105501659862","-175.549656710257","Base"
"6","6","9.90482550100619","-199.325705002448","Base"
"7","7","9.7336435364907","-167.598633425974","Base"
"8","8","9.83463033264889","-225.147456234643","Base"
"9","9","9.83535921459855","-209.095139867668","Base"
"10","10","9.78907596797087","-303.602533503466","Base"
"11","11","9.83802675604722","-182.252688267759","Base"
"12","12","9.78760357922649","-185.966022352868","Base"
"13","13","9.79829393989408","-236.391022984386","Base"
"14","14","9.96696030774596","-308.914027887175","Base"
"15","15","9.91223872262273","-210.06928084898","Base"
"16","16","9.75553704338022","-160.07953789069","Base"
"17","17","9.90444985842163","-149.309940331588","Base"
"18","18","9.88431965413197","-246.223593494553","Base"
"19","19","9.85305571237284","-176.424871753063","Base"
"20","20","9.80662873866148","-230.910208618234","Base"
"21","21","9.94863260186514","-165.585305845861","Base"
"22","22","9.96763414729694","-206.025889924624","Base"
"23","23","9.90312091913524","-198.980257381582","Base"
"24","24","9.86279121898835","-192.172012785253","Base"
"25","25","9.93189561830048","-176.643804146522","Base"
"26","1","9.82436256883256","-233.733539713438","Stem"
"27","2","9.7991917335648","-172.097200803143","Stem"
"28","3","9.67091314970077","-203.822151360211","Stem"
"29","4","9.95906612301586","-239.516126750354","Stem"
"30","5","9.9436844748154","-297.426019355789","Stem"
"31","6","9.91546053513608","-192.98454360386","Stem"
"32","7","9.85614741677786","-147.056409383904","Stem"
"33","8","9.70809103023739","-168.101114005817","Stem"
"34","9","9.81038567173611","-153.872002014907","Stem"
"35","10","9.89915654196951","-212.870191592971","Stem"
"36","11","9.83547225328788","-156.556473530706","Stem"
"37","12","9.93100223148792","-250.429265992372","Stem"
"38","13","9.95496514367728","-163.014258950941","Stem"
"39","14","9.78253233618511","-149.766091613998","Stem"
"40","15","9.87671274212936","-181.290640013368","Stem"
"41","16","9.90294982139573","-244.25529039479","Stem"
"42","17","9.92628875040173","-201.492187664128","Stem"
"43","18","9.94366710775127","-227.713129728706","Stem"
"44","19","9.94561316234576","-142.635641971284","Stem"
"45","20","9.89173838419039","-167.264740438786","Stem"
"46","21","9.83469760477288","-169.318522688939","Stem"
"47","22","9.95955355346403","-287.27972250409","Stem"
"48","23","9.72707383048216","-217.971201138833","Stem"
"49","24","9.79719174928158","-151.65623515416","Stem"
"50","25","9.96953516951905","-188.477779146033","Stem"
"51","1","9.78376613298761","-237.423290968038","Lemma"
"52","2","9.89821575526546","-206.384570732492","Lemma"
"53","3","9.83344341402556","-255.449082559952","Lemma"
"54","4","9.94849681868524","-215.285801156973","Lemma"
"55","5","9.75377270808484","-165.67682664194","Lemma"
"56","6","9.80836158134559","-204.427635267108","Lemma"
"57","7","9.89233870005095","-219.048911844601","Lemma"
"58","8","9.96627780299633","-246.676003807794","Lemma"
"59","9","9.92935534830378","-161.209466982949","Lemma"
"60","10","9.97294481300725","-295.120255534954","Lemma"
"61","11","9.81212929297676","-188.054516665676","Lemma"
"62","12","9.87290558099231","-226.640078438409","Lemma"
"63","13","9.9016226717423","-177.704177616391","Lemma"
"64","14","9.90654839568323","-249.801443543937","Lemma"
"65","15","9.81541261045718","-246.875992316142","Lemma"
"66","16","9.81234773841433","-176.248770537447","Lemma"
"67","17","9.89591490840087","-245.101743343256","Lemma"
"68","18","9.94895593150539","-206.55247047666","Lemma"
"69","19","9.87593627414875","-144.28646164805","Lemma"
"70","20","9.83226550528952","-169.763362927141","Lemma"
"71","21","9.86023274645854","-265.815641133652","Lemma"
"72","22","9.76805851654478","-211.259190970017","Lemma"
"73","23","9.8803223910265","-153.929724482131","Lemma"
"74","24","9.87511474444612","-224.837945862381","Lemma"
"75","25","9.95898065785718","-222.451957001669","Lemma"
"76","1","9.93751870043956","-246.23674194737","N-gram"
"77","2","9.66876521595106","-138.59661492355","N-gram"
"78","3","9.47717887209406","-127.346185980458","N-gram"
"79","4","9.65697632804627","-158.887099128488","N-gram"
"80","5","9.84885768198309","-143.122995368678","N-gram"
"81","6","9.67316731749286","-197.596440718335","N-gram"
"82","7","9.76928740777043","-109.506975473862","N-gram"
"83","8","9.83958301616589","-143.864266326754","N-gram"
"84","9","9.84835004499316","-138.855370987948","N-gram"
