"","code","label","subcategory","feedback","criticality","organization","question","row_index","Sentiment"
"1","xn","Couldn't be improved","Nothing to improve","Nothing.",3,"Trust A","Trust A - Q1",0,0
"2","ee","Environment/ facilities","Environment/ facilities","Temperature in theatre a little low.",-1,"Trust A","Trust A - Q1",1,-0.204
"3","ap","Access","Provision of services","Same service available at Bingham Health Centre.",-2,"Trust A","Trust A - Q1",2,0
"4","mi","Communication","Amount/clarity of information","Appointment details given over phone - no physical evidence/reminder which could cause problems. Other than that, nothing apparent, thank you. Service on the day excellent, thank you.",-1,"Trust A","Trust A - Q1",3,0.049
"5","mm","Communication","Communication","On one occasion I was not made aware that my appointment could not be kept until I arrived at the centre. A phone call would have saved me a 22 mile round trip which would have been costly if I had had to take a taxi.",-3,"Trust A","Trust A - Q1",4,0.34
"6","eq","Environment/ facilities","Facilities/equipment","The blood pressure monitor and cuff smelt of cigarettes which was quite unpleasant. Also old perfume/aftershave. I don't know if there is any way of removing the smell in between users, but it would be an improvement.",-2,"Trust A","Trust A - Q1",5,0.297
"7","xn","Couldn't be improved","Nothing to improve","Nothing at present.",3,"Trust A","Trust A - Q1",6,0
"8","wa","Access","Time spent waiting for first appt/referral/service","Long wait for the appointment.",-3,"Trust A","Trust A - Q1",7,0
"9","da","Dignity","Respect For Diversity/ Person-Centeredness","2 Staff Members I had an issue with in regards to lack of patience with my capabilities, seeming to be interested in moving onto the next job.",-4,"Trust A","Trust A - Q1",8,0.103
"10","xn","Couldn't be improved","Nothing to improve","Absolutely nothing",3,"Trust A","Trust A - Q1",9,0
"11","mm","Communication","Communication","Be more specific with time of visit, i.e. early or late morning; early or late afternoon",-1,"Trust A","Trust A - Q1",10,0
"12","xn","Couldn't be improved","Nothing to improve","Nothing",3,"Trust A","Trust A - Q1",11,0
"13","xn","Couldn't be improved","Nothing to improve","Nothing the care was brilliant",3,"Trust A","Trust A - Q1",12,0.29
"14","wb","Access","Time spent waiting between appointments","Really would like appointments closer together - they are too far apart for",-3,"Trust A","Trust A - Q1",13,0.417
"15","ss","Staff","Staff: General","The support you receive is wholly variable based on who you speak to. At times the patronising, condescending and dismissive nature of some crisis team s",-3,"Trust A","Trust A - Q1",14,-0.34
"16","ss","Staff","Staff: General","Reception staff some good some really awful.",-3,"Trust A","Trust A - Q1",15,-0.101
"17","xn","Couldn't be improved","Nothing to improve","Nothing",3,"Trust A","Trust A - Q1",16,0
"18","xn","Couldn't be improved","Nothing to improve","Cant think of anything.",3,"Trust A","Trust A - Q1",17,0
"19","xn","Couldn't be improved","Nothing to improve","No, happy with service.",3,"Trust A","Trust A - Q1",18,-0.458
"20","xn","Couldn't be improved","Nothing to improve","Nothing",3,"Trust A","Trust A - Q1",19,0
"21","xn","Couldn't be improved","Nothing to improve","Happy with the service.",3,"Trust A","Trust A - Q1",20,0.572
"22","cc","Care received","Care received","Have more respiratory patients.",-1,"Trust A","Trust A - Q1",21,0
"23","xn","Couldn't be improved","Nothing to improve","Nothing.",3,"Trust A","Trust A - Q1",22,0
"24","xn","Couldn't be improved","Nothing to improve","Nothing.
",3,"Trust A","Trust A - Q1",23,0
"25","xn","Couldn't be improved","Nothing to improve","Everything has been ok thanks.",3,"Trust A","Trust A - Q1",24,0.649
"26","xn","Couldn't be improved","Nothing to improve","Nothing you have all been brilliant.",3,"Trust A","Trust A - Q1",25,0.586
"27","xn","Couldn't be improved","Nothing to improve","very happy with all service",3,"Trust A","Trust A - Q1",27,0.611
"28","xn","Couldn't be improved","Nothing to improve","Not sure?",3,"Trust A","Trust A - Q1",29,-0.241
"29","sp","Staff","Professionalism/Competence Of Staff","A lot. Our baby girl was born 6 weeks premature, mid 2019. She had a 8 - 12 month assessment form filled by myself. In [Redacted for data protection], it was given to the home visitor on [Redacted for data protection]. Due to my girl not having stood up supported by that time, and also COVID preventing the home visitor doing a height measurement and head measurement, they told us that they would return in [Redacted for data protection] to check on the gross motor skills and to do a full height measurement etc.  We then had a second visit week commencing [Redacted for data protection], my baby girl was standing up at the sofa on her own and was weighed and measured.  The same home visitor as before then asked if I had filled in the assessment form and I told her we had given it to her on her last visit.  The very next thing she said was the form we were given was incorrect it was for a full term baby and we should have been given a premature baby assessment form, therefore, my baby was on target for her adjusted age and doing fine in all areas and so this second meeting was not required.  How can someone question whether we had filled in a form and then say in the next breath, the form filled in was for full term babies? My assumption here is the form has gone missing!!  I then asked whether there would be any further assessments and she told me no not until the baby is 2 years old.  Fast forward to [Redacted for data protection] - now had another letter requesting a growth review!!! The NHS website states that these weight checks etc should be carried out NO MORE than every 3 months and that once the 1 year assessment is complete the next one is at 2 years old.  We have had 3 in 3 months!!  I point blank refuse to go to this one and will not be going to anymore until my baby is 2 years old, it is taking time out of mine or my husbands work for each one of these assessments, we have now been lied to, more than once. If my baby girl is not on track for her growth why are we not being told at the assessment?  According to her red book, all her measurements are fine or are we being lied to again? If a further assessment is required I want a full reason as to why, I want an explanation on why we haven't been told at past assessments. I also want compensation for loss of earnings for every future assessment before 2 years old, we have to attend whilst in working hours! Get it sorted!",-4,"Trust A","Trust A - Q1",30,-0.873
"30","cr","Care received","Rules/approach to care","Let people get rest properly. Checking every hour and opening doors then relocking them means I haven’t have one good night rest since I arrived. The food is not good in my opinion.",-3,"Trust A","Trust A - Q1",31,0.127
"31","xn","Couldn't be improved","Nothing to improve","In my experience I have nothing but praise.",3,"Trust A","Trust A - Q1",32,-0.598
"32","xn","Couldn't be improved","Nothing to improve","Nothing, my nurses are the best.",3,"Trust A","Trust A - Q1",33,0.637
"33","eq","Environment/ facilities","Facilities/equipment","The only thing I can think of is the commodes could have been a lot smaller as I am very short.  So a different sizes would help to make it more comfortable.",-1,"Trust A","Trust A - Q1",34,0.742
"34","aa","Access","General","I am begging for help with my child’s behaviours, and nobody is helping me. I don’t know where to go or who to contact.",-4,"Trust A","Trust A - Q1",35,0.599
"35","cs","Care received","Advice and support","When you leave... jeez! Like you leave and they say oh we’ve made sure you have this, this and this support. But as soon as you walk out those doors. You have nobody! And then they blame it on you.",-4,"Trust A","Trust A - Q1",36,-0.162
"36","xn","Couldn't be improved","Nothing to improve","No.",3,"Trust A","Trust A - Q1",37,-0.296
"37","mm","Communication","Communication","Communication.",-2,"Trust A","Trust A - Q1",38,0
"38","ef","Environment/ facilities","Food","Food is not up to standard. Stodgy and full of carbs.",-2,"Trust A","Trust A - Q1",39,0
"39","xn","Couldn't be improved","Nothing to improve","I don’t know.",3,"Trust A","Trust A - Q1",40,0
"40","ef","Environment/ facilities","Food","Food.",-1,"Trust A","Trust A - Q1",41,0
"41","xn","Couldn't be improved","Nothing to improve","Can’t think of anything.",3,"Trust A","Trust A - Q1",42,0
"42","cc","Care received","Care received","Group was probably a bit to small, only 3 on last day.",-1,"Trust A","Trust A - Q1",43,0
"43","aa","Access","General","Just how to enter new people into the group.",-2,"Trust A","Trust A - Q1",44,0
"44","xn","Couldn't be improved","Nothing to improve","I don’t think so.",3,"Trust A","Trust A - Q1",45,0
"45","xn","Couldn't be improved","Nothing to improve","Given the circumstances not much.",3,"Trust A","Trust A - Q1",46,0
"46","dc","Dignity","Involvement: Of Family And Carers","Communication from doctors and ward manager would be appreciated, as we don’t feel we’ve had a full circle of contact only from HCAs and nurses when we ring in. We would like to know decisions in regards to medication changes and discharge updates. It helps us to feel in control in regards to social service communications as we’ve found that to be quite a battle.",-3,"Trust A","Trust A - Q1",47,0.673
"47","xn","Couldn't be improved","Nothing to improve","Nothing they are amazing.",3,"Trust A","Trust A - Q1",48,-0.472
"48","ct","Care received","Therapies","More therapy choices.",-2,"Trust A","Trust A - Q1",49,0
"49","mm","Communication","Communication","Sometimes the video conferences did not work, but I was happy to take the sessions by phone.",-2,"Trust A","Trust A - Q1",50,0.723
"50","cr","Care received","Rules/approach to care","Back to face to face when possible.",-1,"Trust A","Trust A - Q1",51,0
"51","sp","Staff","Professionalism/Competence Of Staff","Female healthcare are rude and unsupportive. One in particular is unprofessional, and made me want to self-harm.",-4,"Trust A","Trust A - Q1",52,-0.718
"52","cr","Care received","Rules/approach to care","Ideally a face to face consultation, however at these very difficult times that was impossible.",-2,"Trust A","Trust A - Q1",53,0.002
"53","mm","Communication","Communication","We have struggled getting through on the mobile in the evening. We often try all the way from 6.30 to 7.30, the landline isn’t always any better.",-3,"Trust A","Trust A - Q1",54,0.128
"54","ef","Environment/ facilities","Food","food could be better. Physio could be better would like to know first thing in the morning if getting physio would have like it one time a day not three time week. Would have like physio everyday would more decisions input in care.",-3,"Trust A","Trust A - Q1",56,0.938
"55","xn","Couldn't be improved","Nothing to improve","Nothing",3,"Trust A","Trust A - Q1",58,0
"56","ca","Care received","Activities","Music. Practical mindfulness. Psychologist",-3,"Trust A","Trust A - Q1",59,0
"57","ct","Care received","Therapies","More music mediation",-3,"Trust A","Trust A - Q1",60,0
"58","ap","Access","Provision of services","Sometimes a request for another phone consultation was forgotten so I had to book one thru reception, which was no problem but intermittently occurred",-3,"Trust A","Trust A - Q1",61,0.046
"59","xn","Couldn't be improved","Nothing to improve","Don't know",3,"Trust A","Trust A - Q1",62,0
"60","ec","Environment/ facilities","Cleanliness","More tidying up of <?>",-2,"Trust A","Trust A - Q1",64,0
"61","xn","Couldn't be improved","Nothing to improve","Everything is fine.",3,"Trust A","Trust A - Q1",65,0.202
"62","sp","Staff","Professionalism/Competence Of Staff","Female staff do not be using their mobiles whilst sat on the ward.  They pay more attention to that that us.",-4,"Trust A","Trust A - Q1",66,-0.103
"63","sp","Staff","Professionalism/Competence Of Staff","Male members of staff have takeaways daily, this isn't fair as I cannot afford takeaways, they can be very selfish.",-4,"Trust A","Trust A - Q1",67,-0.655
"64","sp","Staff","Professionalism/Competence Of Staff","Male members of staff are sometimes explicit in nature, this triggers my PTSD and want to leave. B2`should only have female staff. Staff recruitment spoils what B2 does well.",-3,"Trust A","Trust A - Q1",68,0.296
"65","tc","Transition/coordination","Consistency/Continuity of care","Continuity of clinician would be ideal in a therapeutic based treatment.",-3,"Trust A","Trust A - Q1",69,0.527
"66","co","Care received","1-2-1 care/Time spent with service user","Take time out to talk to patients & activities.  
Cleaner ward - dirty. 
Would like to have been able to use escorted leave more.",-3,"Trust A","Trust A - Q1",70,0.026
"67","co","Care received","1-2-1 care/Time spent with service user","Staff could spend more time with patients, out of the office. 
Have someone who works here who has the same illness and understands.",-3,"Trust A","Trust A - Q1",71,-0.402
"68","sp","Staff","Professionalism/Competence Of Staff","I'm already in the process of making an official complaint. 
Staff were rude, not friendly nor were they approachable.  They didn't give out medication when they should as they didn't have it for 2 doses. They didn't listen & showed no respect at all.",-4,"Trust A","Trust A - Q1",72,-0.855
"69","cc","Care received","Care received","Some patients were allowed phone charger and others not. 
Gluten free menu could be improved. 
Some bank staff very quite.",-2,"Trust A","Trust A - Q1",73,0.102
"70","ee","Environment/ facilities","Environment/ facilities","Microwave.",-9,"Trust A","Trust A - Q1",74,0
"71","wb","Access","Time spent waiting between appointments","Waiting times were sometimes excessive, but I appreciate under the current climate and pandemic they/things may take longer than usual.",-3,"Trust A","Trust A - Q1",75,0.55
"72","cc","Care received","Care received","To take to and from places and be of some support with going to places.",-3,"Trust A","Trust A - Q1",76,0.402
"73","cc","Care received","Care received","Give lifts to and from places and could take you out and about for support.",-3,"Trust A","Trust A - Q1",77,0.402
"74","cr","Care received","Rules/approach to care","Whilst great support & couldn't have got through this without Claire/Rebecca/Megan(?) - there are still some underlying anxiety issues & I don't feel we have properly addressed these. It would have been good to have come up with an action plan for next steps / recommendations re: how could address these",-4,"Trust A","Trust A - Q1",78,0.84
"75","tx","Transition/coordination","Transition And Discharge","Discharger quicker.",-3,"Trust A","Trust A - Q1",79,0
