"","Stemmed","Lemmatised","STM"
"1","abil","ability","-care"
"2","abl","able","-cell"
"3","abov","abrupt","-depth"
"4","abrupt","absoloutley","-go"
"5","absoloutlei","absolutely","-inclus"
"6","absolut","abuse","-round"
"7","abus","abusive","-staf"
"8","ac","accept","-star"
"9","accept","acceptable","-work"
"10","access","access","‘fluid"
"11","accomid","accessible","‘therapist"
"12","accommod","accomidate","’re"
"13","accord","accommodate","’ve"
"14","account","accord","“cut"
"15","accur","account","“excel"
"16","accus","accurate","“knocking”"
"17","achiev","accurately","“love"
"18","acknowledg","accuse","“ward”"
"19","across","ace","”’re"
"20","act","achieve","<U+0001F366>een"
"21","action","acknowledge","<U+0001F44D><ed><U+00A0><U+00BC>i"
"22","activ","across","<U+0001F44D><ed><U+00A0><U+00BC>nd"
"23","actual","act","<U+0001F44D><ed><U+00A0><U+00BC>o"
"24","acut","action","<U+0001F44D><U+0001F3FD><U+0001F44D><U+0001F3FD><U+0001F44D><U+0001F3FD><U+0001F44D><U+0001F3FD><U+0001F44C><U+0001F3FD><U+0001F44C><U+0001F3FD><U+0001F44C><U+0001F3FD><U+2764><U+FE0F><U+0001F49A>p"
"25","ad","active","<U+0001F44D>fter"
"26","adapt","activity","<U+0001F44D>ur"
"27","add","actual","<U+0001F600><U+0001F600>ens"
"28","addict","actually","<U+0001F600>hey"
"29","addit","acute","<U+0001F600>hing"
"30","address","adapt","<U+0001F600>wn"
"31","adequ","adaptable","<U+0001F601>ere"
"32","adhd","add","<U+0001F601>ge"
"33","adjust","addict","<U+0001F602>’ve"
"34","admin","addition","<U+0001F602><U+0001F602>hrough"
"35","administ","additional","<U+0001F603>atsoev"
"36","administr","address","<U+0001F603>ient"
"37","admiss","adequate","<U+0001F604>ich"
"38","admit","adhd","<U+0001F606>happi"
"39","adult","adjust","<U+0001F60A>all"
"40","advanc","adjustment","<U+0001F60A>ful"
"41","advic","admin","<U+0001F60A>ic"
"42","advis","administer","<U+0001F60A>le"
"43","ae","administration","<U+0001F64F><U+2764><U+FE0F>ngel"
"44","affect","administrator","<U+2764><U+FE0F>nhs"
"45","afraid","admission","aback"
"46","aftercar","admit","abandon"
"47","afternoon","adult","abbi"
"48","afterward","advance","abil"
"49","ag","advice","abinurs"
